"Cyp4v3-74882196","Dkk4-112647536"
"Alk-77371829","Ubap1-74957898"
"Mdfi-112648831","Rcsd1-75934525"
"Itga3-598","Lgi3-73520996"
"Accn4-71924089","Dlx2-1482"
"Gsta4-77278951","Six1-1834"
"Gng13-73615561","Pam16-2391"
"Med23-112649261","Ngfr-79591691"
"Arsa-75749415","Pax3-2464"
"LOC545854-73732153","Pcdhac1-73512189"
"Clic5-77874610","Dtnbp1-75651202"
"Napb-75651234","P2rx3-75888751"
"Bag1-75043147","Parvg-70813925"
"Col25a1-71924301","Hdc-71016663"
"Arpp21-79567762","Pclo-71670682"
"Lct-73931621","Med23-112649261"
"Fgfr3-448","Kiss1r-80343334"
"Gls-500","Serpina3k-72081514"
"Blnk-74819692","Ola1-293038"
"Cdh24-70231307","Veph1-74988352"
"Ifit2-74988457","Tmem109-74988461"
"Bcl7b-1601","Hspb6-74882616"
"Gm196-71670725","Pknox2-76135815"
"Gpc2-72472808","Tpd52l1-74357570"
"Magix-74581446","Sox14-73636036"
"Slc10a3-74047876","Syt13-1020"
"Pdzd2-74988286","Slc39a3-2619"
