Gene1,Gene2
"LOC434300-75988611","Myo10-74743255",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Fdps-76085745","Map2k5-323585",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Efcab6-74819465","Sh2b3-80517009",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Grsf1-73994670","Sox2ot-74658020",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Csrp2bp-276275","Itga11-74882626",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Grsf1-73994670","Nup93-75774679",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"9430020K01Rik-75988537","Pmp22-825",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"LOC380720-73931422","Palm3-74958547",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Pip4k2c-799","Xk-71670735",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"LOC434236-73615572","Vtn-67752116",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"6430573F11Rik-75651150","Dach1-74047769",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Axin1-2053","Sash1-71924225",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Polr1e-75774108","Synpr-1862",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Fxyd5-74819694","Prdx1-836",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Axin1-2053","Ier2-71836849",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Arf1-199390","Grsf1-73994670",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Accn4-71924089","Ptgs2-71016664",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Filip1-73635796","Mri1-75773703",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Filip1-73635796","Vtn-67752116",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Ephb3-1492","Gpx2-74819652",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Filip1-73635796","Sh2b3-80517009",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Alg14-75081004","Tspan11-70436731",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Slc6a2-73615562","Sox2ot-74658020",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
