Gene1,Gene2
"Bpgm-77414641","Egr4-74800827",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Fhdc1-73925717","Gpr151-74724649",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Lgals1-70634417","Slc5a7-73929608",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ccdc85a-75081006","N4bp2-74363354",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Krt73-74750042","Sigmar1-112196265",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Atp5h-77371785","Ppp1r7-832",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gpr151-74724649","Rassf4-74988636",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Pou2f1-1563","Tnip2-74425540",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Hdc-71016663","Ntrk1-71670679",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Creb3l1-112197858","Nkx2-1-74988460",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gm261-73636032","Traip-77887842",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cdh13-77869863","Ntf5-1393",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"N4bp2-74363354","Slco1a5-67850945",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"0610010F05Rik-74957923","Cd44-224",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cdh13-77869863","Galr2-80517343",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cysltr1-75651227","Eif3j-321196",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Egr4-74800827","Myo10-74743255",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Atp5h-77371785","Mylk-74819252",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Terf2ip-112196711","Yme1l1-356849",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Matn4-77371795","Sox2-77280331",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Bpgm-77414641","Susd2-75146000",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dok2-2155","Slc16a4-2579",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Bcl6-75651139","Filip1-73635796",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Galr2-80517343","P2rx3-75888751",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Eps8l2-74658244","Tnfaip8-75038412",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
