Gene1,Gene2
"Gnal-71670716","Zfp280c-1669"
"Filip1l-74363347","Slc4a10-1922"
"Egr4-74800827","Slco1a5-67850945"
"Glrb-498","Pafah1b1-2460"
"Dok2-2155","Hkdc1-70634299"
"Cep72-74988742","Nkd1-74586666"
"Gm261-73636032","Mri1-75773703"
"Dpysl5-73635770","Zim2-76135811"
"Chrm4-79591641","Pth1r-112202195"
"Dusp6-75650864","Hmx3-74641309"
"Grik3-75749418","Igfn1-75988547"
"Hook3-1197","Tmem33-356284"
"Lrmp-74274684","Tyr-79591699"
"Cd1d1-219","Ywhaq-1130"
"Oxt-112648396","Rps15-75774687"
"Lims2-75145999","Tyr-79591699"
"Dok1-75042248","Filip1-73635796"
"Rps4y2-75934917","Six3os1-75041431"
"Fam46a-75042237","Hpca-72129291"
"Atp5h-77371785","Itga3-598"
"Bpgm-77414641","Fezf2-75651163"
"Gm261-73636032","Gnal-71670716"
"Cdkn1a-80343383","Nr5a1-734"
"Ccdc85a-75081006","Satb1-927"
"Hkdc1-70634299","Satb1-927"
