gene1,gene2
"F11r-75773698","Galr2-80517343"
"Nacc2-74641266","Rab3ip-71717136"
"Efna1-1347","Slc18a1-2583"
"Heatr7a-73992940","Trim28-1071"
"Fem1a-2212","Hpse-77340468"
"Eef1b2-75934526","Pogk-71064277"
"Thbd-75079800","Trhr-79591633"
"Pllp-1880","Prkca-840"
"Gls-500","Il10ra-75041443"
"Ralyl-72129250","Uqcrb-323595"
"Eef1b2-75934526","Smpd4-75651226"
"Lynx1-655","Slc6a9-1420"
"F11r-75773698","Pogk-71064277"
"Agpat3-85","Hoxb13-2299"
"Igsf11-72103820","Mageh1-17"
"Cx3cl1-2135","Usp16-1886"
"Cmtm4-2101","Wnt8b-1890"
"Acot7-145","Atp10a-72128790"
"Usp16-1886","Usp48-149"
"Slc35a2-2607","Syt12-1291"
"Gnao1-506","Lrrn3-75041464"
"Cmtm4-2101","Stard7-74800953"
"Nrsn1-71358557","Uqcrb-323595"
"Ctxn1-74586669","Gca-74641159"
"Sult1a1-75774114","Tdrd3-77887882"
"Hspa4l-75749390","Irx2-1752"
"Efna1-1347","Ms4a6b-293474"
"Cct2-356082","Ldlrap1-2010"
"Hoxb13-2299","Slc36a2-1069"
"Cacng7-74750054","LOC620538-73907504"
"Atp10a-72128790","Cx3cl1-2135"
"Ccdc137-1978","Lrp5-653"
"Arhgap25-72128789","Pxn-1814"
"Grin1-1585","Thpo-2671"
"Gjb5-2259","Slc20a1-1571"
"Pnrc1-2501","Slc35b2-2613"
"Pdgfa-1516","Plxnb2-1263"
"Got2-76115728","Miat-72340194"
"Eif2ak3-2181","Ywhae-2739"
"Acot13-75042252","Hpse-77340468"
"Gfap-1357","Slc35a2-2607"
"Lrp5-653","Rfx1-895"
"Homer3-356087","Slc25a5-2591"
"Cspg5-73931385","Stx1a-2645"
"Cx3cl1-2135","Pdgfa-1516"
"Igsf11-72103820","Zfp790-356855"
"Acot7-145","Cx3cl1-2135"
"Gnao1-506","Lrrc4-75041463"
"Atp10a-72128790","Nacc2-74641266"
"Hpse-77340468","Papola-1251"
"Ccdc137-1978","Gmps-1361"
"B630019K06Rik-74881160","Pdzrn3-71836787"
"4930451C15Rik-74750011","Fam19a4-72472752"
"Iqsec3-73636153","Pak3-71836887"
"Igsf11-72103820","Pdzrn3-71836787"
"Hpse-77340468","Prdx3-70743842"
"Efna1-1347","Pvr-119504"
"Hsd11b1-73520987","Zfpm2-75651162"
"Mrap2-71924480","Plxnb2-1263"
"Hist1h2bc-560","Syt12-1291"
"Dennd5a-1526","Hsp90b1-75042251"
"Sel1l3-74988657","Suv39h2-1538"
"Slc39a3-2619","Stat5a-77413690"
"Ddn-73636031","Yme1l1-356849"
"Acot7-145","Wnt7a-1936"
"Cmtm4-2101","Gli3-1615"
"Bnc2-73636164","Emb-73930836"
"Npr1-71670678","Slc39a3-2619"
"Mxra7-77332080","Rasal2-75147758"
"Ccdc137-1978","Leprotl1-2373"
"Atp5s-323589","LOC620538-73907504"
"Slc12a3-2573","Slc18a1-2583"
"Gpr18-71015809","Tdrd3-77887882"
"Galr2-80517343","Rasal2-75147758"
"Smarca2-76085747","Ubr3-74988721"
"Prdx3-70743842","Wnt7a-1936"
"Galr2-80517343","Igsf11-72103820"
"Irak1-2323","Pelo-789"
"Cep78-322963","Slc12a3-2573"
"Crispld1-72077456","Stoml2-74581379"
"Ddn-73636031","Mageh1-17"
"Ntrk1-71670679","Tnfaip8-75038412"
"LOC545352-74988758","Sox2-77280331"
"Pvr-119504","Spns2-73512500"
"D830030K20Rik-73930807","Stx1a-2645"
"Lamb1-71670482","Trhde-75774669"
"Cnih2-2109","Sbf1-276264"
"Csdc2-70634234","Tnfrsf21-71836885"
"Per1-791","Rwdd2b-1587"
"Golga7b-76097699","Tdrd3-77887882"
"Ms4a6b-293474","Pvr-119504"
"B3gnt5-73992711","Tmem179-76097701"
"Ednrb-74750017","Itpk1-71923998"
"Kit-73520994","Stac2-293472"
"Stx1a-2645","Ywhaq-1130"
"Dok2-2155","Hspa4l-75749390"
"Sema4g-71587856","Zfp790-356855"
"Gckr-74274683","Strn-73521824"
"Cnih-278","Gnpnat1-2267"
"Cd59a-73992928","Kcnj14-75651203"
"Clic6-1984","Mcm3ap-665"
"Nrg1-74743257","Pmch-55"
"B3gat1-73818755","Lamb1-71670482"
"Fbxo9-74800954","Prdx5-76115740"
"Acot13-75042252","Bcan-154"
"Adamts16-276267","Slc36a2-1069"
"Arpc1a-77280335","Lancl1-74881159"
"Papola-1251","Pdgfa-1516"
"Gng11-1732","Irak1-2323"
"Cdk14-71670684","Npr1-71670678"
"Sox11-79912528","Tomm20-74819230"
"Map2k6-73817433","Rab3ip-71717136"
"Hepacam-35","Lrig1-1371"
"Cep78-322963","Ywhaq-1130"
"Sacm1l-74882832","Strada-74819330"
"Golga7b-76097699","Npr1-71670678"
"Dok2-2155","Mapre2-659"
"Ero1lb-72340145","Pdzrn3-71836787"
"Gemin4-74818624","Uggt1-74957909"
"Gnat1-2265","Ywhae-2739"
"Galr2-80517343","Npr1-71670678"
"Slc39a3-2619","Zfp790-356855"
"Chst1-71836872","Eef1b2-75934526"
"Gmfb-1726","Stac-73788116"
